Имя / Название,Telegram Username,Очки активности,Описание (Bio),Что рекламируют (Контекст),Где размещаются (Каналы),Кол-во рекламы в базе,Пример последнего поста
timicheva2000,@timicheva2000,1.2,Не заполнено,Heuristic Match: стоимость телефон,Активен в 1 каналах,1,"Всем привет, меня зовут Ольга. 
Я мастер по пирсингу. 
Работаю в центре Белград имею опыт в разных п..."
Николай Емельянов,@emelnv,1.2,Не заполнено,Heuristic Match: реклам[аыу] услуги ищу,Активен в 1 каналах,1,"🔎 Ваши услуги ищут не только в Telegram, но и в поисковиках Яндекс и Google.

👋 Меня зовут Николай Е..."
Светлана Трансфер/Визаран,@VISARUN_Svetlana,1.2,Не заполнено,Heuristic Match: продам стоимость пишите,Активен в 1 каналах,1,"**Продам 

Вело-кресло Thule (задняя посадка) + детский шлем + дождевик/ветровик (специально для вел..."
Оля,@olgaaaah1,1.2,Не заполнено,Heuristic Match: контакты whatsapp,Активен в 1 каналах,1,"**Я Ольга ❤️ Помогаю тем, кто занят или не любит убирать.

🧹 Поддерживающая уборка – 800 RSD/час
**У..."
Татьяна HR,@SkrylevaTanya,1.2,Не заполнено,Heuristic Match: заказ аренда (Business),Активен в 1 каналах,1,"В компания “**VROOM**” имеющей два направления: 

📎 Современный АВТОСЕРВИС 
📎 АРЕНДА автомобилей Бел..."
DOM_i_Kto_tut,@DOM_i_Kto_tut,1.2,Не заполнено,Heuristic Match: стоимость,Активен в 1 каналах,1,"**Баново брдо\Церак\Раковица**
__ПРОдленка для ребят 6 - 9 лет__

**Школа туризма на свежем воздухе:..."
Vitalii,@Ekaterinburg_Novisad,1.2,Не заполнено,Heuristic Match: услуги viber whatsapp,Активен в 1 каналах,1,"Электрика, отопление и сантехника 
– профессиональные услуги для вашего дома и офиса. 

Добрый день!..."
ritasaleclother,@ritasaleclother,1.2,Не заполнено,Heuristic Match: цена пишите,Активен в 1 каналах,1,"Продаю кроватку на колесах Kinderkraft Noah 

Состояние хорошее, но колесики почти не крутятся. Сама..."
Brzo Cleaning,@cleaning_brzo_BG,1.2,Не заполнено,Heuristic Match: услуги пишите,Активен в 1 каналах,1,"КЛИНИНГ В БЕЛГРАДЕ 🇷🇸

✨ Почему выбирают нас:
• Берёмся за любые задачи и доводим до идеала
• Команд..."
sale_blok9b,@sale_blok9b,1.2,Не заполнено,Heuristic Match: заказ,Активен в 1 каналах,1,"Штука (скатерть?), чтобы закрыть круглый стол. Абсолютно нефотогеничная, прикладываю фото с Тему (гд..."
kate_nutrisut,@kate_nutrisut,1.2,Не заполнено,Heuristic Match: пишите,Активен в 1 каналах,1,"До лета 2.5 месяца.
Это **минус 4–7 кг** без экстремальных диет, если **начать сейчас.**

В мае уже ..."
Евгений Новиков,@evgan_nov,1.2,Не заполнено,Heuristic Match: услуги предлагаю пишите,Активен в 1 каналах,1,"**Всем доброго дня! Меня зовут Евгений.

Предлагаю Вам комфортные поездки по Сербии и Белграду (до 7..."
Cat Cleaning Beograd,@cat_cleaning_beograd,1.2,Не заполнено,Heuristic Match: услуги пишите whatsapp,Активен в 1 каналах,1,"CAT CLEANING BEOGRAD 🧹😺🪣

✅Мастер по клинингу в Белграде

➡️Оказываю услуги

🏠Поддерживающая уборка ..."
loengrinn,@loengrinn,1.2,Не заполнено,Heuristic Match: заказ,Активен в 1 каналах,1,"🛠 Сварщик в Белграде 

Привет, я Петр. Напоминаю, что я с радостью беру заказы на сварку) Работаю на..."
Франк,@alsetom,1.2,Не заполнено,Heuristic Match: пишите,Активен в 1 каналах,1,"Кулон ""Глубокий""

Материалы: металл и стекло

2000 дин

Пишите @alsetom для покупки!

А таже есть др..."
ramizcore,@ramizcore,1.2,Не заполнено,Heuristic Match: цена (Business),Активен в 1 каналах,1,"#resume #cv #резюме
**Должность:** Senior #iOS Developer 
**Локация:** удаленка
**ЗП:** по договорен..."
serbia_belgrade,@serbia_belgrade,1.2,Не заполнено,Heuristic Match: whatsapp,Активен в 1 каналах,1,"Belgrade Vozdovac

БЕЛЫЙ КАРТОН 

Адрес: Jovana Deretića 9 
30 минут на общественном транспорте до V..."
nu almaz,@nualmaz,1.2,Не заполнено,Heuristic Match: помощь,Активен в 1 каналах,1,🔍 **Продавец  в магазин разливного пива **[Pivograd](https://www.instagram.com/pivograd.rs?igsh=MTZq...
__Hairkiller1__,@__Hairkiller1__,1.2,Не заполнено,Heuristic Match: услуги обучение (Business),Активен в 1 каналах,1,"НЕ МОЖЕТЕ НАЙТИ СВОЕГО МАСТЕРА ?

Меня зовут Золотовский Илья я предоставляю парикмахерские услуги в..."
apobozhev,@apobozhev,1.2,Не заполнено,Heuristic Match: телефон,Активен в 1 каналах,1,"**🧑‍💼 Управляющий сетью кофеен Кофилин в Нови Саде
📌 Обязанности:**
Организация и контроль работы ко..."
MishKAFood_Bg,@MishKAFood_Bg,1.2,Не заполнено,Heuristic Match: заказ,Активен в 1 каналах,1,"Готовим домашнюю еду на каждый день: горячие блюда, блинчики, свежую выпечку, десерты, торты и замор..."
Mull1xxx,@Mull1xxx,1.2,Не заполнено,Heuristic Match: контакты директ телефон (Business),Активен в 1 каналах,1,"Здравствуйте)

Ищем работу в Сербии с официальным оформлением, релокацией и ВНЖ.
Рассматриваем предл..."
salebelgrade_banovobrdo,@salebelgrade_banovobrdo,1.2,Не заполнено,Heuristic Match: курс,Активен в 1 каналах,1,"Курс подготовки к школе
БРОНЬ Новая книга, но обложка помята при транспортировке
300 динар

Вводим з..."
